tau,K,seed,tc_f1,uc_f1
0.2,3,42,0.0,0.1333333333331911
0.2,3,43,0.0,0.1333333333331911
0.2,3,44,0.0,0.14285714285698978
0.2,3,45,0.0,0.22222222222191976
0.2,3,46,0.0,0.33333333333301846
0.2,3,47,0.0,0.24999999999971875
0.2,3,48,0.0,0.1333333333331911
0.2,3,49,0.0,0.15384615384598815
0.2,3,50,0.0,0.6666666666661172
0.2,3,51,0.0,0.14285714285698978
0.1,3,42,0.24999999999971875,0.1333333333331911
0.1,3,43,0.22222222222197527,0.1333333333331911
0.1,3,44,0.1666666666664861,0.11764705882340486
0.1,3,45,0.6666666666661667,0.22222222222191976
0.1,3,46,0.6206896551719429,0.33333333333301846
0.1,3,47,0.9999999999984999,0.39999999999952
0.1,3,48,0.1666666666664861,0.12499999999986719
0.1,3,49,0.14285714285698978,0.1333333333331911
0.1,3,50,0.39999999999964797,0.5714285714280725
0.1,3,51,0.14285714285698978,0.18181818181798345
0.05,3,42,0.09999999999989499,0.11764705882340486
0.05,3,43,0.09999999999989499,0.11111111111099384
0.05,3,44,0.09999999999989499,0.11111111111099384
0.05,3,45,0.9142857142851658,0.29999999999971494
0.05,3,46,0.9473684210520831,0.2857142857140136
0.05,3,47,0.9999999999984999,0.499999999999375
0.05,3,48,0.09999999999989499,0.12499999999986719
0.05,3,49,0.09523809523799547,0.11764705882340486
0.05,3,50,0.9473684210520831,0.5263157894731634
0.05,3,51,0.09523809523799547,0.1333333333331911
0.02,3,42,0.09999999999989499,0.09523809523799547
0.02,3,43,0.09999999999989499,0.09999999999989499
0.02,3,44,0.09999999999989499,0.10526315789462604
0.02,3,45,0.9142857142851658,0.27272727272701236
0.02,3,46,0.9473684210520831,0.2608695652171418
0.02,3,47,0.9999999999984999,0.24999999999971875
0.02,3,48,0.09999999999989499,0.11111111111099384
0.02,3,49,0.09523809523799547,0.09999999999989499
0.02,3,50,0.9473684210520831,0.5384615384611036
0.02,3,51,0.09523809523799547,0.09999999999989499
0.01,3,42,0.09999999999989499,0.09523809523799547
0.01,3,43,0.09999999999989499,0.09523809523799547
0.01,3,44,0.09999999999989499,0.09999999999989499
0.01,3,45,0.9142857142851658,0.27272727272701236
0.01,3,46,0.9473684210520831,0.2608695652171418
0.01,3,47,0.9999999999984999,0.18181818181798345
0.01,3,48,0.09999999999989499,0.10526315789462604
0.01,3,49,0.09523809523799547,0.09999999999989499
0.01,3,50,0.9473684210520831,0.5384615384611036
0.01,3,51,0.09523809523799547,0.09999999999989499
