n,seed,ste_time,ste_tc_f1
10,42,0.00030493736267089844,0.18181818181798345
10,43,0.0002739429473876953,0.9999999999994
10,44,0.00030493736267089844,0.0
10,45,0.00023889541625976562,0.6666666666661333
10,46,0.00024700164794921875,0.5714285714280816
20,42,0.00027108192443847656,0.10526315789462604
20,43,0.0003371238708496094,0.09999999999989499
20,44,0.00024390220642089844,0.09999999999989499
20,45,0.00039577484130859375,0.9142857142851658
20,46,0.0003409385681152344,0.8888888888883457
50,42,0.0009951591491699219,0.979591836734174
50,43,0.0009741783142089844,0.039215686274469815
50,44,0.0008628368377685547,0.9898989898984698
50,45,0.0008769035339355469,0.03999999999995919
50,46,0.0009663105010986328,0.039215686274469815
100,42,0.003815889358520508,0.9795918367341842
100,43,0.0025179386138916016,0.019801980197999804
100,44,0.002653837203979492,0.019801980197999804
100,45,0.0034079551696777344,0.019801980197999804
100,46,0.0033409595489501953,0.019801980197999804
200,42,0.014320850372314453,0.009950248756208906
200,43,0.009337902069091797,0.009950248756208906
200,44,0.009208917617797852,0.009950248756208906
200,45,0.009375333786010742,0.009950248756208906
200,46,0.009348869323730469,0.009950248756208906
