K,seed,tc_f1,time
2,42,0.0,0.0002410411834716797
2,43,0.2857142857139591,0.0002009868621826172
2,44,0.22222222222197527,0.00022292137145996094
2,45,0.39999999999964,0.0002689361572265625
2,46,0.5185185185180959,0.00021004676818847656
2,47,0.9999999999984999,0.0002219676971435547
2,48,0.0,0.00023508071899414062
2,49,0.19999999999978,0.00018906593322753906
2,50,0.2608695652171418,0.00023508071899414062
2,51,0.2857142857139591,0.0002162456512451172
3,42,0.09999999999989499,0.0003211498260498047
3,43,0.09999999999989499,0.0002613067626953125
3,44,0.09999999999989499,0.00030303001403808594
3,45,0.9142857142851658,0.0002429485321044922
3,46,0.9473684210520831,0.00027298927307128906
3,47,0.9999999999984999,0.00025200843811035156
3,48,0.09999999999989499,0.00025010108947753906
3,49,0.09523809523799547,0.000286102294921875
3,50,0.9473684210520831,0.00033402442932128906
3,51,0.09523809523799547,0.0002701282501220703
4,42,0.09523809523799547,0.0003342628479003906
4,43,0.09523809523799547,0.0003581047058105469
4,44,0.09523809523799547,0.0003590583801269531
4,45,0.8888888888883457,0.00026917457580566406
4,46,0.99999999999945,0.0003180503845214844
4,47,0.9999999999984999,0.0002949237823486328
4,48,0.09999999999989499,0.0003521442413330078
4,49,0.09523809523799547,0.0002980232238769531
4,50,0.9743589743584248,0.0002970695495605469
4,51,0.09523809523799547,0.0003058910369873047
5,42,0.09523809523799547,0.00034618377685546875
5,43,0.09523809523799547,0.00036406517028808594
5,44,0.09523809523799547,0.00032591819763183594
5,45,0.8888888888883457,0.00034999847412109375
5,46,0.99999999999945,0.00037980079650878906
5,47,0.9999999999984999,0.00034809112548828125
5,48,0.09999999999989499,0.00038909912109375
5,49,0.09523809523799547,0.0003960132598876953
5,50,0.9743589743584248,0.0003840923309326172
5,51,0.09523809523799547,0.0003390312194824219
