n,rho,eta,mu,seed,ste_tc_f1,ste_uc_f1,ste_tc_topk_f1,ste_uc_topk_f1,ste_tc_pred_size,ste_uc_pred_size,logloss_train,logloss_val,logloss_test,acc_test,btl_tc_f1,elo_tc_f1,rank_centrality_tc_f1,win_rate_tc_f1
15,0.3,0.0,0.0,42,0.8888888888883236,0.3076923076918343,0.9285714285708622,0.2499999999994375,13.0,9.0,0.6176335890692581,0.7255553378328962,0.7375624542808519,0.5238095238095238,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.0,0.0,43,0.12499999999986719,0.1666666666664861,0.0,0.0,15.0,11.0,0.6277965562843822,0.7017149381624406,0.7123482093910511,0.5523809523809524,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
15,0.3,0.0,0.0,44,0.9999999999994333,0.2666666666663111,0.9999999999994333,0.33333333333272225,15.0,12.0,0.6277592031221683,0.8007116099812797,0.7767352691411535,0.45714285714285713,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.0,45,0.9655172413787443,0.37499999999964845,0.9999999999994333,0.33333333333272225,14.0,13.0,0.595263190586465,0.7217619581127815,0.7732410329061166,0.5142857142857142,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.0,46,0.9999999999994287,0.588235294117121,0.9999999999994287,0.6666666666660555,14.0,11.0,0.5997381447968814,0.7904945134250618,0.7776709192548604,0.5142857142857142,0.9999999999994287,0.9999999999994287,0.9999999999994287,0.9999999999994287
15,0.3,0.0,0.0,47,0.14285714285698978,0.24999999999971875,0.0,0.0,13.0,7.0,0.6050931964089223,0.7063132129637013,0.743211166568916,0.4666666666666667,0.0,0.0,0.0,0.0
15,0.3,0.0,0.0,48,0.9999999999994333,0.499999999999575,0.9999999999994333,0.7999999999993399,15.0,15.0,0.6265037063580203,0.7833581889113659,0.7642238749702506,0.49523809523809526,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.0,49,0.499999999999375,0.3333333333329444,0.9999999999984999,0.9999999999984999,3.0,5.0,0.6106230089383389,0.6623868129431993,0.7187149352175642,0.5904761904761905,0.0,0.0,0.0,0.0
15,0.3,0.0,0.0,50,0.9999999999984999,0.3333333333329444,0.9999999999984999,0.9999999999984999,1.0,5.0,0.6056588352276848,0.7341852562161943,0.6922522711374592,0.5428571428571428,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
15,0.3,0.0,0.0,51,0.8888888888883291,0.33333333333290277,0.9999999999994333,0.6666666666659444,12.0,9.0,0.5943648864970408,0.7765952073164729,0.7918095101565803,0.4857142857142857,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
