n,seed,ece_tc,brier_tc,ece_uc,brier_uc,logloss_train,logloss_val,logloss_test,acc_test
10,42,0.504997530579567,0.2676647314181733,0.3571341574192047,0.16465254818003264,0.6212479862664756,0.6536124910493152,0.7400862541610321,0.5121951219512195
10,43,0.36025435328483585,0.13744885544539934,0.38072240650653844,0.32811856848528587,0.6232912445045868,0.6881973461075197,0.6674006327334631,0.6341463414634146
10,44,0.5735371828079223,0.416608066578226,0.5388170123100281,0.38024017177152913,0.623936269182153,0.7832764109191995,0.7496033294556568,0.4634146341463415
10,45,0.2565724849700928,0.0694559409885919,0.15820851624011995,0.16385413034586263,0.6149742562808841,0.8024219735386736,0.8534556973721892,0.3170731707317073
10,46,0.3294728100299836,0.1189575026341192,0.31640485227108006,0.22573171446233958,0.6083891834707282,0.7445839059414783,0.6895554397714863,0.5609756097560976
10,47,0.2543297350406647,0.07068990266991157,0.3875408291816712,0.3523717264316829,0.6035078062879692,0.7230591786862445,0.7862293123505313,0.5121951219512195
10,48,0.3393044173717499,0.15522820703824375,0.198888698220253,0.17264909106856235,0.5913748976289231,0.6969192823538001,0.6521170100791078,0.6829268292682927
10,49,0.266535371541977,0.14195556487843852,0.26995085179805756,0.17681199969144368,0.6339592930097934,0.804431482062356,0.739033915623117,0.4146341463414634
10,50,0.3594685345888138,0.1406728541888783,0.36751309633255,0.20728191906488416,0.5998047618648383,0.829631556754344,0.6386576051860234,0.6341463414634146
10,51,0.3278619349002838,0.11556762175221244,0.4691375598311424,0.33088062964857345,0.5913562942856478,0.7476775426112482,0.6910205873083947,0.5609756097560976
20,42,0.6098997354507446,0.42169608007466586,0.5680200114846229,0.37794721958163213,0.6264868007674683,0.7396841669436381,0.7409625173446702,0.5263157894736842
20,43,0.6568028628826141,0.48113853018201275,0.5867068827152252,0.4004927943747217,0.628512401906566,0.7277492913012114,0.7489617610890621,0.5146198830409356
20,44,0.6871378988027573,0.522729681443496,0.6417570613324642,0.481372434481421,0.6310877231948324,0.7035840043431306,0.718039018221088,0.5380116959064327
20,45,0.1537661001086235,0.12783738922874693,0.6268855065107345,0.48350363073397196,0.6252550031615478,0.7306909885458315,0.7326620450254051,0.5672514619883041
20,46,0.30701429992914203,0.10521499691334886,0.4574811175465584,0.3437856438255876,0.6148675167920553,0.7338424138785826,0.735086751732153,0.49122807017543857
20,47,0.5965478152036667,0.37782681454557254,0.42669516354799275,0.24212862249321856,0.5863255613187438,0.6657540617645058,0.70242307565256,0.5614035087719298
20,48,0.64960258603096,0.46874857792401414,0.6766291692852974,0.4942755342188427,0.6227378304744182,0.6977917424595529,0.7581540886790255,0.4853801169590643
20,49,0.7151542812585829,0.5546766490435937,0.667476122826338,0.49803632044922663,0.6123912294370522,0.7078639504561506,0.7296949279031253,0.5555555555555556
20,50,0.6293870091438294,0.44491225353416297,0.5978116557002067,0.41046723336305,0.6108126487871381,0.7068057303168503,0.7070178272506294,0.5730994152046783
20,51,0.6768298462033272,0.5046263658050588,0.5216072663664818,0.3444786794072978,0.6175746697116501,0.700638319720996,0.6716122375626195,0.5730994152046783
30,42,0.7357592046260835,0.5726835689877777,0.7320506403843562,0.5726234345749979,0.6211911743985488,0.7033331226673735,0.7246455523745982,0.5217391304347826
30,43,0.7164351145426433,0.5472702047332556,0.6644656876722972,0.5050389350188151,0.6112755592133816,0.7548864443255692,0.7529535150492326,0.5217391304347826
30,44,0.7259401937325796,0.5582708202561464,0.7006694575150807,0.5325588868063843,0.6140818755690525,0.7614027149397715,0.7177207086867844,0.5396419437340153
30,45,0.7390440026919047,0.5774406158716765,0.7150532205899557,0.5671331628938605,0.6127440810742313,0.710391814173112,0.7076276699763421,0.5447570332480819
30,46,0.712865948677063,0.5410154601921462,0.6463966776927312,0.4670731596660828,0.61657580201457,0.7171922231149824,0.7353675881315123,0.5063938618925832
30,47,0.19567730228106175,0.11512820006009186,0.4186015730102857,0.28401024683910836,0.6065775279038568,0.6937853980357088,0.7418574666898823,0.5191815856777494
30,48,0.7537170370419819,0.5992131866916052,0.7383231182893117,0.5850247138731498,0.6102355866319307,0.7480138943593587,0.7766554155916167,0.4859335038363171
30,49,0.06174149910608928,0.1715546114427911,0.5933679660161337,0.4628428951181298,0.6108356923836024,0.7210147844154406,0.725483716979101,0.5626598465473146
30,50,0.7261460443337759,0.5396392186329356,0.6261430179079374,0.44217404794093995,0.6102960053766214,0.7251957178869674,0.7263159017678654,0.5370843989769821
30,51,0.27917974591255185,0.08276928402370783,0.5434779604276022,0.3965131361621102,0.6103541561463492,0.7232460982067005,0.723293516379293,0.5498721227621484
