K,seed,tc_f1,time
2,42,0.0,0.00024008750915527344
2,43,0.2857142857139591,0.0002827644348144531
2,44,0.22222222222197527,0.0002257823944091797
2,45,0.39999999999964,0.00022292137145996094
2,46,0.5185185185180959,0.0002923011779785156
2,47,0.9999999999984999,0.0002751350402832031
2,48,0.0,0.00022602081298828125
2,49,0.19999999999978,0.0002639293670654297
2,50,0.2608695652171418,0.00029397010803222656
2,51,0.2857142857139591,0.00024199485778808594
3,42,0.09999999999989499,0.0003979206085205078
3,43,0.09999999999989499,0.0003139972686767578
3,44,0.09999999999989499,0.00035309791564941406
3,45,0.9142857142851658,0.00030684471130371094
3,46,0.9473684210520831,0.00032711029052734375
3,47,0.9999999999984999,0.0003769397735595703
3,48,0.09999999999989499,0.00026917457580566406
3,49,0.09523809523799547,0.0003228187561035156
3,50,0.9473684210520831,0.0002779960632324219
3,51,0.09523809523799547,0.00042819976806640625
4,42,0.09523809523799547,0.0003509521484375
4,43,0.09523809523799547,0.0004961490631103516
4,44,0.09523809523799547,0.0003399848937988281
4,45,0.8888888888883457,0.000392913818359375
4,46,0.99999999999945,0.00032901763916015625
4,47,0.9999999999984999,0.0004868507385253906
4,48,0.09999999999989499,0.0003368854522705078
4,49,0.09523809523799547,0.0004329681396484375
4,50,0.9743589743584248,0.0003390312194824219
4,51,0.09523809523799547,0.00042819976806640625
5,42,0.09523809523799547,0.0003552436828613281
5,43,0.09523809523799547,0.00047206878662109375
5,44,0.09523809523799547,0.0003941059112548828
5,45,0.8888888888883457,0.0004799365997314453
5,46,0.99999999999945,0.0004429817199707031
5,47,0.9999999999984999,0.0005140304565429688
5,48,0.09999999999989499,0.0004010200500488281
5,49,0.09523809523799547,0.0004591941833496094
5,50,0.9743589743584248,0.0003972053527832031
5,51,0.09523809523799547,0.0005009174346923828
