n,seed,ste_time,ste_tc_f1
10,42,0.00036406517028808594,0.18181818181798345
10,43,0.0002040863037109375,0.9999999999994
10,44,0.00023508071899414062,0.0
10,45,0.00030112266540527344,0.6666666666661333
10,46,0.00028896331787109375,0.5714285714280816
20,42,0.00042510032653808594,0.10526315789462604
20,43,0.0003151893615722656,0.09999999999989499
20,44,0.0003120899200439453,0.09999999999989499
20,45,0.0003960132598876953,0.9142857142851658
20,46,0.0003018379211425781,0.8888888888883457
50,42,0.0010819435119628906,0.979591836734174
50,43,0.0010540485382080078,0.039215686274469815
50,44,0.0009720325469970703,0.9898989898984698
50,45,0.0009882450103759766,0.03999999999995919
50,46,0.001049041748046875,0.039215686274469815
100,42,0.0037970542907714844,0.9795918367341842
100,43,0.0028710365295410156,0.019801980197999804
100,44,0.0030341148376464844,0.019801980197999804
100,45,0.0026826858520507812,0.019801980197999804
100,46,0.003035306930541992,0.019801980197999804
200,42,0.013356924057006836,0.009950248756208906
200,43,0.009237051010131836,0.009950248756208906
200,44,0.00848531723022461,0.009950248756208906
200,45,0.008790969848632812,0.009950248756208906
200,46,0.010396957397460938,0.009950248756208906
