n,rho,eta,mu,seed,m_per_pair,ste_tc_f1,ste_tc_jaccard,ste_uc_f1,ste_uc_jaccard,ste_tc_topk_f1,ste_uc_topk_f1,ste_top1_tc,ste_tc_pred_size,ste_uc_pred_size,true_tc_size,true_uc_size,logloss_train,logloss_val,logloss_test,acc_test,win_rate_tc_f1,win_rate_uc_f1,win_rate_top1_tc,copeland_tc_f1,copeland_uc_f1,copeland_top1_tc,elo_tc_f1,elo_uc_f1,elo_top1_tc,rank_centrality_tc_f1,rank_centrality_uc_f1,rank_centrality_top1_tc,btl_tc_f1,btl_uc_f1,btl_top1_tc,hodgerank_tc_f1,hodgerank_uc_f1,hodgerank_top1_tc
20,0.0,0.05,0.1,42,10,0.10526315789462604,0.05555555555555555,0.1333333333331911,0.07142857142857142,0.0,0.0,0.0,18.0,14.0,1.0,1.0,0.6105015713847363,0.7745655560496643,0.7205497632932267,0.5614035087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,43,10,0.09523809523799547,0.05,0.11111111111099384,0.058823529411764705,0.0,0.0,0.0,20.0,17.0,1.0,1.0,0.6303182125415836,0.7268478253373093,0.7438597829955318,0.49122807017543857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.09999999999989499,0.05263157894736842,0.0,0.0,0.0,19.0,19.0,1.0,1.0,0.6233370878090492,0.7488598723212639,0.7367968066319033,0.4678362573099415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,42,10,0.09523809523799547,0.05,0.1333333333331911,0.07142857142857142,0.0,0.0,0.0,20.0,14.0,1.0,1.0,0.6272705837371477,0.7433602409753479,0.7413218230857405,0.5380116959064327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,43,10,0.10526315789462604,0.05555555555555555,0.11764705882340486,0.0625,0.0,0.0,0.0,18.0,16.0,1.0,1.0,0.629821892772478,0.7295497870893358,0.7508828375041031,0.5087719298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.2,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.11764705882340486,0.0625,0.0,0.0,0.0,19.0,16.0,1.0,1.0,0.6329824707938355,0.7060030796373549,0.71894048418499,0.5321637426900585,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4,0.05,0.1,42,10,0.09523809523799547,0.05,0.12499999999986719,0.06666666666666667,0.0,0.0,0.0,20.0,15.0,1.0,1.0,0.6257578664310682,0.7438116423712025,0.7417434026816557,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.4,0.05,0.1,43,10,0.10526315789462604,0.05555555555555555,0.11111111111099384,0.058823529411764705,0.0,0.9999999999984999,0.0,18.0,17.0,1.0,1.0,0.6278406391935516,0.7256168754322763,0.752776528258885,0.5146198830409356,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0,0.9999999999984999,0.9999999999984999,1.0
20,0.4,0.05,0.1,44,10,0.09999999999989499,0.05263157894736842,0.11764705882340486,0.0625,0.0,0.0,0.0,19.0,16.0,1.0,1.0,0.6285204770146093,0.7048162910759707,0.7194620957569461,0.5380116959064327,0.0,0.0,0.0,0.9999999999984999,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.6,0.05,0.1,42,10,0.09523809523799547,0.05,0.11764705882340486,0.0625,0.0,0.0,0.0,20.0,16.0,1.0,1.0,0.6220073921276643,0.7428841275748478,0.7324520656919987,0.543859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
