mu,seed,tc_inclusion_mean,uc_inclusion_mean,tc_stability_jaccard,uc_stability_jaccard,tc_modal_size,uc_modal_size,tc_modal_jaccard_true,uc_modal_jaccard_true
0.0,42,0.9983333333333334,0.8508333333333333,0.9983333333333334,0.8508333333333333,20.0,20.0,0.05,0.05
0.0,43,0.9991666666666668,0.9291666666666666,0.9991666666666668,0.9291666666666667,20.0,20.0,0.05,0.05
0.1,42,0.9891666666666665,0.8766666666666667,0.9891666666666666,0.8766666666666668,20.0,20.0,0.05,0.05
0.1,43,0.9991666666666668,0.9149999999999998,0.9991666666666668,0.9149999999999999,20.0,20.0,0.05,0.05
0.3,42,0.9341666666666668,0.9075,0.9443859649122808,0.9318421052631579,19.0,19.0,0.05263157894736842,0.05263157894736842
0.3,43,0.8391666666666667,0.8933333333333335,0.8391666666666668,0.8933333333333333,20.0,20.0,0.05,0.05
0.5,42,0.3825,0.8916666666666666,0.28667363954128666,0.9046491228070176,6.0,19.0,0.0,0.05263157894736842
0.5,43,0.3583333333333333,0.8891666666666668,0.21969847010288185,0.8931140350877192,3.0,19.0,0.3333333333333333,0.05263157894736842
0.7,42,0.006666666666666666,0.7708333333333334,0.8833333333333333,0.7891064671482628,0.0,17.0,0.0,0.058823529411764705
0.7,43,0.008333333333333335,0.8275,0.85,0.8330701754385963,0.0,19.0,0.0,0.05263157894736842
