n,seed,ece_tc,brier_tc,ece_uc,brier_uc,logloss_train,logloss_val,logloss_test,acc_test
10,42,0.504997530579567,0.2676647314181733,0.3571341574192047,0.16465254818003264,0.6212479862664756,0.6536124910493152,0.7400862541610321,0.5121951219512195
10,43,0.36025435328483585,0.13744885544539934,0.38072240650653844,0.32811856848528587,0.6232912445045868,0.6881973461075197,0.6674006327334631,0.6341463414634146
10,44,0.5735371828079223,0.416608066578226,0.5388170123100281,0.38024017177152913,0.623936269182153,0.7832764109191995,0.7496033294556568,0.4634146341463415
20,42,0.6098997354507446,0.42169608007466586,0.5680200114846229,0.37794721958163213,0.6264868007674683,0.7396841669436381,0.7409625173446702,0.5263157894736842
20,43,0.6568028628826141,0.48113853018201275,0.5867068827152252,0.4004927943747217,0.628512401906566,0.7277492913012114,0.7489617610890621,0.5146198830409356
20,44,0.6871378988027573,0.522729681443496,0.6417570613324642,0.481372434481421,0.6310877231948324,0.7035840043431306,0.718039018221088,0.5380116959064327
30,42,0.7357592046260835,0.5726835689877777,0.7320506403843562,0.5726234345749979,0.6211911743985488,0.7033331226673735,0.7246455523745982,0.5217391304347826
30,43,0.7164351145426433,0.5472702047332556,0.6644656876722972,0.5050389350188151,0.6112755592133816,0.7548864443255692,0.7529535150492326,0.5217391304347826
30,44,0.7259401937325796,0.5582708202561464,0.7006694575150807,0.5325588868063843,0.6140818755690525,0.7614027149397715,0.7177207086867844,0.5396419437340153
