seed,tc_inclusion_mean,uc_inclusion_mean,tc_stability_jaccard,uc_stability_jaccard,tc_modal_size,uc_modal_size,tc_modal_jaccard_true,uc_modal_jaccard_true
42,0.9891666666666665,0.8766666666666667,0.9891666666666666,0.8766666666666668,20.0,20.0,0.05,0.05
43,0.9991666666666668,0.9149999999999998,0.9991666666666668,0.9149999999999999,20.0,20.0,0.05,0.05
