n,seed,ste_time,ste_tc_f1
10,42,0.0002911090850830078,0.18181818181798345
10,43,0.00022101402282714844,0.9999999999994
20,42,0.0002720355987548828,0.10526315789462604
20,43,0.00028705596923828125,0.09999999999989499
50,42,0.0011208057403564453,0.979591836734174
50,43,0.0010151863098144531,0.039215686274469815
100,42,0.0036013126373291016,0.9795918367341842
100,43,0.00290679931640625,0.019801980197999804
200,42,0.014053106307983398,0.009950248756208906
200,43,0.008740901947021484,0.009950248756208906
