K,seed,tc_f1,time
2,42,0.0,0.00022077560424804688
2,43,0.2857142857139591,0.00022220611572265625
2,44,0.22222222222197527,0.00023603439331054688
3,42,0.09999999999989499,0.00035309791564941406
3,43,0.09999999999989499,0.0002970695495605469
3,44,0.09999999999989499,0.00027823448181152344
4,42,0.09523809523799547,0.0002586841583251953
4,43,0.09523809523799547,0.00041222572326660156
4,44,0.09523809523799547,0.00030303001403808594
5,42,0.09523809523799547,0.0004658699035644531
5,43,0.09523809523799547,0.0003800392150878906
5,44,0.09523809523799547,0.0005002021789550781
