n,rho,eta,mu,seed,ste_tc_f1,ste_uc_f1,ste_tc_topk_f1,ste_uc_topk_f1,ste_tc_pred_size,ste_uc_pred_size,logloss_train,logloss_val,logloss_test,acc_test,btl_tc_f1,elo_tc_f1,rank_centrality_tc_f1,win_rate_tc_f1
15,0.3,0.0,0.0,42,0.8888888888883236,0.3076923076918343,0.9285714285708622,0.2499999999994375,13.0,9.0,0.6176335890692581,0.7255553378328962,0.7375624542808519,0.5238095238095238,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
15,0.3,0.0,0.0,43,0.12499999999986719,0.1666666666664861,0.0,0.0,15.0,11.0,0.6277965562843822,0.7017149381624406,0.7123482093910511,0.5523809523809524,0.9999999999984999,0.9999999999984999,0.9999999999984999,0.9999999999984999
15,0.3,0.0,0.0,44,0.9999999999994333,0.2666666666663111,0.9999999999994333,0.33333333333272225,15.0,12.0,0.6277592031221683,0.8007116099812797,0.7767352691411535,0.45714285714285713,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.1,42,0.8799999999994369,0.3636363636358347,0.9285714285708622,0.49999999999937494,11.0,7.0,0.6005059343429244,0.7459269191894033,0.7724296610279199,0.4631578947368421,0.9999999999994287,0.9999999999994287,0.9999999999994287,0.9999999999994287
15,0.3,0.0,0.1,43,0.0,0.24999999999971875,0.0,0.0,1.0,7.0,0.6184404505279624,0.7676443842589669,0.6473933838005332,0.631578947368421,0.0,0.0,0.0,0.0
15,0.3,0.0,0.1,44,0.9999999999994333,0.37499999999964845,0.9999999999994333,0.6666666666659444,15.0,13.0,0.6230618092331354,0.682604782460149,0.7639145101605479,0.5052631578947369,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.0,0.3,42,0.1333333333331911,0.1428571428567143,0.9999999999994287,0.2499999999994375,1.0,10.0,0.6125062124347698,0.7737198020386076,0.7021533427342791,0.4931506849315068,0.9999999999994287,0.9285714285708622,0.9999999999994287,0.9999999999994287
15,0.3,0.0,0.3,43,0.22222222222197527,0.0,0.0,0.0,8.0,10.0,0.6409538580527385,0.7200442563463332,0.6853816402232119,0.5616438356164384,0.0,0.0,0.0,0.0
15,0.3,0.0,0.3,44,0.7999999999994559,0.2666666666663111,0.9999999999994333,0.0,10.0,12.0,0.5917306466582348,0.721909163787634,0.8082207487248478,0.4520547945205479,0.9999999999994333,0.9999999999994333,0.9999999999994333,0.9999999999994333
15,0.3,0.05,0.0,42,0.9285714285708622,0.2857142857138367,0.9285714285708622,0.2499999999994375,14.0,10.0,0.6109998985329588,0.7306720651876857,0.724057891829553,0.5714285714285714,0.9285714285708622,0.9285714285708622,0.9285714285708622,0.9285714285708622
