n,seed,ste_time,ste_tc_f1
10,42,0.000286102294921875,0.18181818181798345
10,43,0.0002529621124267578,0.9999999999994
10,44,0.00019478797912597656,0.0
10,45,0.00021457672119140625,0.6666666666661333
10,46,0.0001628398895263672,0.5714285714280816
20,42,0.0002608299255371094,0.10526315789462604
20,43,0.00025916099548339844,0.09999999999989499
20,44,0.0004229545593261719,0.09999999999989499
20,45,0.0002560615539550781,0.9142857142851658
20,46,0.000247955322265625,0.8888888888883457
50,42,0.001026153564453125,0.979591836734174
50,43,0.0007622241973876953,0.039215686274469815
50,44,0.0009708404541015625,0.9898989898984698
50,45,0.0008418560028076172,0.03999999999995919
50,46,0.0008831024169921875,0.039215686274469815
100,42,0.0035247802734375,0.9795918367341842
100,43,0.0028591156005859375,0.019801980197999804
100,44,0.0032300949096679688,0.019801980197999804
100,45,0.0031380653381347656,0.019801980197999804
100,46,0.0028429031372070312,0.019801980197999804
200,42,0.013378620147705078,0.009950248756208906
200,43,0.009716272354125977,0.009950248756208906
200,44,0.009018898010253906,0.009950248756208906
200,45,0.009036779403686523,0.009950248756208906
200,46,0.00903010368347168,0.009950248756208906
