K,seed,tc_f1,time
2,42,0.0,0.0002028942108154297
2,43,0.2857142857139591,0.00021004676818847656
2,44,0.22222222222197527,0.0002532005310058594
2,45,0.39999999999964,0.00033402442932128906
2,46,0.5185185185180959,0.0002281665802001953
2,47,0.9999999999984999,0.0002129077911376953
2,48,0.0,0.00019884109497070312
2,49,0.19999999999978,0.0003631114959716797
2,50,0.2608695652171418,0.0002541542053222656
2,51,0.2857142857139591,0.0003190040588378906
3,42,0.09999999999989499,0.00036716461181640625
3,43,0.09999999999989499,0.00025010108947753906
3,44,0.09999999999989499,0.000354766845703125
3,45,0.9142857142851658,0.00034880638122558594
3,46,0.9473684210520831,0.0002498626708984375
3,47,0.9999999999984999,0.0003142356872558594
3,48,0.09999999999989499,0.0003418922424316406
3,49,0.09523809523799547,0.0002696514129638672
3,50,0.9473684210520831,0.0004119873046875
3,51,0.09523809523799547,0.00035500526428222656
4,42,0.09523809523799547,0.00034308433532714844
4,43,0.09523809523799547,0.00043082237243652344
4,44,0.09523809523799547,0.0002849102020263672
4,45,0.8888888888883457,0.0004067420959472656
4,46,0.99999999999945,0.0002961158752441406
4,47,0.9999999999984999,0.00039196014404296875
4,48,0.09999999999989499,0.00044083595275878906
4,49,0.09523809523799547,0.0003478527069091797
4,50,0.9743589743584248,0.00045990943908691406
4,51,0.09523809523799547,0.00034689903259277344
5,42,0.09523809523799547,0.0003631114959716797
5,43,0.09523809523799547,0.0004968643188476562
5,44,0.09523809523799547,0.0004448890686035156
5,45,0.8888888888883457,0.00043582916259765625
5,46,0.99999999999945,0.0003998279571533203
5,47,0.9999999999984999,0.0004737377166748047
5,48,0.09999999999989499,0.000370025634765625
5,49,0.09523809523799547,0.0004649162292480469
5,50,0.9743589743584248,0.00035190582275390625
5,51,0.09523809523799547,0.00042819976806640625
