n,seed,agent,tc_prob,tc_label,uc_prob,uc_label
10,42,0,0.801853597164154,1.0,0.9155961871147156,1.0
10,42,1,0.4084915220737457,1.0,0.21831515431404114,0.0
10,42,2,0.4966084957122803,1.0,0.6039621829986572,1.0
10,42,3,0.499591588973999,1.0,0.5520561337471008,1.0
10,42,4,0.482661634683609,1.0,0.1573905050754547,0.0
10,42,5,0.3619369566440582,1.0,0.2846890091896057,0.0
10,42,6,0.49657994508743286,1.0,0.5317105650901794,1.0
10,42,7,0.49013471603393555,1.0,0.27515459060668945,0.0
10,42,8,0.41225096583366394,1.0,0.5617004036903381,1.0
10,42,9,0.4999152719974518,1.0,0.8008177876472473,0.0
10,43,0,0.6845345497131348,1.0,0.8673635721206665,1.0
10,43,1,0.6420149207115173,1.0,0.6904745101928711,0.0
10,43,2,0.4147014617919922,1.0,0.3956628441810608,0.0
10,43,3,0.686621367931366,1.0,0.7748706340789795,0.0
10,43,4,0.554776668548584,1.0,0.5459434390068054,0.0
10,43,5,0.6211139559745789,1.0,0.5734865665435791,1.0
10,43,6,0.6915578842163086,1.0,0.8308835029602051,0.0
10,43,7,0.7005741000175476,1.0,0.8124720454216003,0.0
10,43,8,0.686619222164154,1.0,0.4314098656177521,0.0
10,43,9,0.7149423360824585,1.0,0.884657084941864,1.0
10,44,0,0.6907951831817627,1.0,0.8287222981452942,1.0
10,44,1,0.7452945113182068,0.0,0.8181380033493042,0.0
10,44,2,0.682025671005249,0.0,0.7706315517425537,0.0
10,44,3,0.6734821796417236,0.0,0.767022967338562,0.0
10,44,4,0.6724268198013306,0.0,0.8263702392578125,0.0
10,44,5,0.6260538697242737,0.0,0.5670211911201477,0.0
10,44,6,0.6238935589790344,0.0,0.27125316858291626,0.0
10,44,7,0.6941642761230469,0.0,0.5220488905906677,0.0
10,44,8,0.6755762696266174,0.0,0.34431809186935425,0.0
10,44,9,0.6516594886779785,0.0,0.6726437211036682,0.0
10,45,0,0.7802641987800598,1.0,0.4443134069442749,0.0
10,45,1,0.5873135924339294,1.0,0.39356979727745056,0.0
10,45,2,0.7451760172843933,1.0,0.3359525203704834,1.0
10,45,3,0.7962756156921387,1.0,0.9051091074943542,1.0
10,45,4,0.7788208723068237,1.0,0.6647080779075623,0.0
10,45,5,0.6988691091537476,1.0,0.6926517486572266,1.0
10,45,6,0.7677459120750427,1.0,0.8897127509117126,1.0
10,45,7,0.7936891913414001,1.0,0.8926727175712585,1.0
10,45,8,0.7167496681213379,1.0,0.41207900643348694,0.0
10,45,9,0.769370973110199,1.0,0.32630518078804016,0.0
10,46,0,0.5029822587966919,1.0,0.22084160149097443,0.0
10,46,1,0.6395848989486694,1.0,0.5846966505050659,1.0
10,46,2,0.6771970391273499,1.0,0.49959835410118103,0.0
10,46,3,0.7563072443008423,1.0,0.74314284324646,1.0
10,46,4,0.7955513596534729,1.0,0.9054702520370483,0.0
10,46,5,0.7834346294403076,1.0,0.5804129838943481,0.0
10,46,6,0.7974461317062378,1.0,0.5559762716293335,1.0
10,46,7,0.5612120032310486,1.0,0.23244033753871918,0.0
10,46,8,0.5977873206138611,1.0,0.5251467823982239,1.0
10,46,9,0.5937690138816833,1.0,0.7049264907836914,1.0
10,47,0,0.7855989336967468,1.0,0.5383794903755188,0.0
10,47,1,0.6774808764457703,1.0,0.8244591355323792,1.0
10,47,2,0.7214473485946655,1.0,0.7130234837532043,0.0
10,47,3,0.6204644441604614,1.0,0.3665093779563904,0.0
10,47,4,0.6994835734367371,1.0,0.5461476445198059,0.0
10,47,5,0.6489953398704529,1.0,0.539111852645874,1.0
10,47,6,0.8124343752861023,1.0,0.8111223578453064,0.0
10,47,7,0.8402018547058105,1.0,0.8963302969932556,0.0
10,47,8,0.8244346976280212,1.0,0.8823906183242798,1.0
10,47,9,0.8261612057685852,1.0,0.757934033870697,0.0
10,48,0,0.7849571108818054,1.0,0.13353848457336426,0.0
10,48,1,0.875302255153656,1.0,0.9239010810852051,1.0
10,48,2,0.6139475703239441,1.0,0.23315110802650452,0.0
10,48,3,0.8552995920181274,1.0,0.9213195443153381,1.0
10,48,4,0.8449109196662903,1.0,0.903400182723999,0.0
10,48,5,0.18601098656654358,1.0,0.13426445424556732,0.0
10,48,6,0.620829701423645,1.0,0.29089757800102234,1.0
10,48,7,0.4788099229335785,1.0,0.20735473930835724,0.0
10,48,8,0.6224700212478638,1.0,0.7335712909698486,1.0
10,48,9,0.7244177460670471,1.0,0.5625620484352112,1.0
10,49,0,0.6856575012207031,1.0,0.7125661373138428,1.0
10,49,1,0.6469215750694275,1.0,0.6561824679374695,1.0
10,49,2,0.4678826928138733,1.0,0.49273681640625,0.0
10,49,3,0.5392991900444031,1.0,0.13364657759666443,0.0
10,49,4,0.8247662782669067,1.0,0.8877159953117371,1.0
10,49,5,0.7102835774421692,1.0,0.7638037800788879,1.0
10,49,6,0.6952248811721802,1.0,0.8120551109313965,0.0
10,49,7,0.5315377116203308,1.0,0.2312672734260559,0.0
10,49,8,0.7654401063919067,1.0,0.6576874852180481,0.0
10,49,9,0.4676327705383301,0.0,0.3045867085456848,0.0
10,50,0,0.689856231212616,1.0,0.7286326885223389,1.0
10,50,1,0.5229508280754089,1.0,0.49064531922340393,0.0
10,50,2,0.6924993395805359,1.0,0.5408509373664856,1.0
10,50,3,0.4990784823894501,1.0,0.3065766394138336,0.0
10,50,4,0.6913310885429382,1.0,0.5150368809700012,1.0
10,50,5,0.47642213106155396,1.0,0.573192298412323,1.0
10,50,6,0.6444736123085022,1.0,0.5741692185401917,1.0
10,50,7,0.6377571821212769,1.0,0.5168223977088928,1.0
10,50,8,0.7060810923576355,1.0,0.7836794257164001,0.0
10,50,9,0.8448646664619446,1.0,0.9143313765525818,1.0
10,51,0,0.6250643134117126,1.0,0.5009453892707825,0.0
10,51,1,0.6950053572654724,1.0,0.5158703923225403,0.0
10,51,2,0.6966214179992676,1.0,0.5000770092010498,0.0
10,51,3,0.8752991557121277,1.0,0.9223416447639465,1.0
10,51,4,0.6202006340026855,1.0,0.20112824440002441,1.0
10,51,5,0.5002865195274353,1.0,0.20512044429779053,0.0
10,51,6,0.6935187578201294,1.0,0.22879792749881744,1.0
10,51,7,0.7027871012687683,1.0,0.8396762013435364,1.0
10,51,8,0.6879238486289978,1.0,0.7891404032707214,0.0
10,51,9,0.6246735453605652,1.0,0.7824068665504456,0.0
20,42,0,0.7045865058898926,0.0,0.6927071213722229,0.0
20,42,1,0.6029062271118164,0.0,0.44533586502075195,0.0
20,42,2,0.6952763199806213,0.0,0.8227068781852722,0.0
20,42,3,0.8117331862449646,0.0,0.9206093549728394,0.0
20,42,4,0.5439878702163696,0.0,0.5360103249549866,0.0
20,42,5,0.5628693103790283,0.0,0.4868648946285248,0.0
20,42,6,0.6893686652183533,0.0,0.532122015953064,0.0
20,42,7,0.6305464506149292,0.0,0.8016838431358337,0.0
20,42,8,0.58870929479599,0.0,0.603525698184967,0.0
20,42,9,0.6229133009910583,0.0,0.5565916299819946,0.0
20,42,10,0.7044374346733093,0.0,0.495719313621521,0.0
20,42,11,0.6860896944999695,0.0,0.7993354201316833,0.0
20,42,12,0.6523284316062927,0.0,0.6922587156295776,0.0
20,42,13,0.6759316921234131,1.0,0.8727564811706543,1.0
20,42,14,0.7134157419204712,0.0,0.40557143092155457,0.0
20,42,15,0.6783331632614136,0.0,0.2762572169303894,0.0
20,42,16,0.6109699010848999,0.0,0.6440767049789429,0.0
20,42,17,0.6080167889595032,0.0,0.28770413994789124,0.0
20,42,18,0.7093822956085205,0.0,0.6905996203422546,0.0
20,42,19,0.7061924338340759,0.0,0.797963559627533,0.0
20,43,0,0.7877234816551208,0.0,0.8179543018341064,0.0
20,43,1,0.8000721335411072,0.0,0.6968592405319214,0.0
20,43,2,0.6709955334663391,0.0,0.8253040313720703,0.0
20,43,3,0.6820974349975586,0.0,0.7948552370071411,0.0
20,43,4,0.492412805557251,0.0,0.6066979765892029,0.0
20,43,5,0.8021072745323181,0.0,0.6655162572860718,0.0
20,43,6,0.7218585014343262,0.0,0.8163357973098755,0.0
20,43,7,0.7233240008354187,0.0,0.8827285170555115,0.0
20,43,8,0.754722535610199,0.0,0.6140278577804565,0.0
20,43,9,0.7575483322143555,1.0,0.8916577100753784,1.0
20,43,10,0.7929188013076782,0.0,0.6542549133300781,0.0
20,43,11,0.4969062805175781,0.0,0.30883705615997314,0.0
20,43,12,0.7276140451431274,0.0,0.6063742637634277,0.0
20,43,13,0.7082138657569885,0.0,0.292850136756897,0.0
20,43,14,0.6571081280708313,0.0,0.32301631569862366,0.0
20,43,15,0.75747150182724,0.0,0.5438442230224609,0.0
20,43,16,0.6212752461433411,0.0,0.41947004199028015,0.0
20,43,17,0.7663525342941284,0.0,0.824726402759552,0.0
20,43,18,0.684241771697998,0.0,0.6184484958648682,0.0
20,43,19,0.7310930490493774,0.0,0.5303788781166077,0.0
20,44,0,0.7803605198860168,1.0,0.8762368559837341,1.0
20,44,1,0.7437419295310974,0.0,0.7908539175987244,0.0
20,44,2,0.7688156962394714,0.0,0.9018370509147644,0.0
20,44,3,0.6849180459976196,0.0,0.8219850659370422,0.0
20,44,4,0.8078838586807251,0.0,0.7206987142562866,0.0
20,44,5,0.8160033226013184,0.0,0.9122236371040344,0.0
20,44,6,0.7758116126060486,0.0,0.8537675738334656,0.0
20,44,7,0.4621010422706604,0.0,0.3571891784667969,0.0
20,44,8,0.6593918204307556,0.0,0.3891076445579529,0.0
20,44,9,0.7245045900344849,0.0,0.24994157254695892,0.0
20,44,10,0.7714165449142456,0.0,0.7669597268104553,0.0
20,44,11,0.7955055236816406,0.0,0.7202889919281006,0.0
20,44,12,0.6250450015068054,0.0,0.4601977467536926,0.0
20,44,13,0.8190024495124817,0.0,0.6813334822654724,0.0
20,44,14,0.8015552759170532,0.0,0.8726217746734619,0.0
20,44,15,0.7489289045333862,0.0,0.5589657425880432,0.0
20,44,16,0.6200392246246338,0.0,0.5078068971633911,0.0
20,44,17,0.7700311541557312,0.0,0.6117520928382874,0.0
20,44,18,0.7973006963729858,0.0,0.8965204954147339,0.0
20,44,19,0.7704007625579834,0.0,0.8848530650138855,0.0
20,45,0,0.7949437499046326,1.0,0.8158127665519714,0.0
20,45,1,0.768886923789978,1.0,0.696257472038269,0.0
20,45,2,0.7849917411804199,1.0,0.8620048761367798,0.0
20,45,3,0.7890739440917969,1.0,0.8060436248779297,1.0
20,45,4,0.7809126973152161,1.0,0.875728964805603,0.0
20,45,5,0.7895795106887817,1.0,0.7157967686653137,0.0
20,45,6,0.8175942301750183,1.0,0.9021350145339966,0.0
20,45,7,0.8042504191398621,1.0,0.914884626865387,0.0
20,45,8,0.40291687846183777,0.0,0.5036309361457825,0.0
20,45,9,0.8238935470581055,1.0,0.9106827974319458,0.0
20,45,10,0.7430745959281921,1.0,0.736053466796875,0.0
20,45,11,0.6566970944404602,1.0,0.5568705797195435,0.0
20,45,12,0.785125195980072,0.0,0.296019583940506,0.0
20,45,13,0.530430018901825,1.0,0.31774404644966125,1.0
20,45,14,0.5974094271659851,0.0,0.5637991428375244,0.0
20,45,15,0.6482540965080261,0.0,0.6445199847221375,0.0
20,45,16,0.7716495394706726,1.0,0.6583486199378967,0.0
20,45,17,0.7623416185379028,1.0,0.8878917694091797,1.0
20,45,18,0.7341669201850891,1.0,0.7143978476524353,0.0
20,45,19,0.8099008798599243,1.0,0.7945753335952759,0.0
20,46,0,0.5031702518463135,1.0,0.44635963439941406,0.0
20,46,1,0.614621102809906,1.0,0.5117588639259338,1.0
20,46,2,0.7011308073997498,1.0,0.5557178854942322,0.0
20,46,3,0.7940900921821594,1.0,0.9146236777305603,0.0
20,46,4,0.5159409642219543,1.0,0.4013366103172302,0.0
20,46,5,0.73727947473526,1.0,0.3969532549381256,0.0
20,46,6,0.6897004842758179,1.0,0.4918324649333954,0.0
