seed,tc_inclusion_mean,uc_inclusion_mean,tc_stability_jaccard,uc_stability_jaccard,tc_modal_size,uc_modal_size,tc_modal_jaccard_true,uc_modal_jaccard_true
42,0.9862500000000001,0.88175,0.98625,0.8817499999999999,20.0,20.0,0.05,0.05
43,0.993,0.90675,0.993,0.90675,20.0,20.0,0.05,0.05
44,0.99825,0.8995000000000001,0.9982499999999999,0.8994999999999999,20.0,20.0,0.05,0.05
45,0.9945,0.89875,0.9944999999999999,0.8987499999999998,20.0,20.0,0.8,0.8
46,0.99375,0.909,0.99375,0.9089999999999999,20.0,20.0,1.0,1.0
