n,seed,ste_time,ste_tc_f1
10,42,0.0003502368927001953,0.18181818181798345
10,43,0.000186920166015625,0.9999999999994
10,44,0.00017905235290527344,0.0
10,45,0.00018405914306640625,0.6666666666661333
10,46,0.00018787384033203125,0.5714285714280816
20,42,0.0002830028533935547,0.10526315789462604
20,43,0.000370025634765625,0.09999999999989499
20,44,0.0002727508544921875,0.09999999999989499
20,45,0.0003790855407714844,0.9142857142851658
20,46,0.0002989768981933594,0.8888888888883457
50,42,0.0010488033294677734,0.979591836734174
50,43,0.0008461475372314453,0.039215686274469815
50,44,0.0010309219360351562,0.9898989898984698
50,45,0.0009729862213134766,0.03999999999995919
50,46,0.0009658336639404297,0.039215686274469815
100,42,0.0034830570220947266,0.9795918367341842
100,43,0.0032689571380615234,0.019801980197999804
100,44,0.003256082534790039,0.019801980197999804
100,45,0.004353046417236328,0.019801980197999804
100,46,0.0028600692749023438,0.019801980197999804
200,42,0.013276815414428711,0.009950248756208906
200,43,0.009562969207763672,0.009950248756208906
200,44,0.008713006973266602,0.009950248756208906
200,45,0.009073257446289062,0.009950248756208906
200,46,0.008537769317626953,0.009950248756208906
