seed,ste_tc_f1,ste_tc_jaccard,ste_uc_f1,ste_uc_jaccard,ste_time,logloss_train,logloss_val,logloss_test,acc_test,win_rate_tc_f1,win_rate_top1,copeland_tc_f1,copeland_top1,elo_tc_f1,elo_top1,rank_centrality_tc_f1,rank_centrality_top1,btl_tc_f1,btl_top1,hodgerank_tc_f1,hodgerank_top1,baseline_time
42,0.09523809523799547,0.05,0.12499999999986719,0.06666666666666667,0.00028586387634277344,0.6257578664310682,0.7438116423712025,0.7417434026816557,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005080699920654297
43,0.10526315789462604,0.05555555555555555,0.11111111111099384,0.058823529411764705,0.00031304359436035156,0.6278406391935516,0.7256168754322763,0.752776528258885,0.5146198830409356,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.9999999999984999,1.0,0.9999999999984999,1.0,0.9999999999984999,1.0,0.0050199031829833984
44,0.09999999999989499,0.05263157894736842,0.11764705882340486,0.0625,0.0002989768981933594,0.6285204770146093,0.7048162910759707,0.7194620957569461,0.5380116959064327,0.0,0.0,0.9999999999984999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049228668212890625
45,0.9142857142851658,0.8421052631578947,0.27272727272701236,0.15789473684210525,0.00031185150146484375,0.6228810776953384,0.7339635954928223,0.7356493293749139,0.5730994152046783,0.8749999999994453,1.0,0.8749999999994453,1.0,0.8749999999994453,1.0,0.8749999999994453,1.0,0.8749999999994453,1.0,0.8749999999994453,1.0,0.005032777786254883
46,0.9743589743584248,0.95,0.33333333333301846,0.2,0.00028896331787109375,0.6152764255569533,0.7308551295290739,0.7317220491303777,0.49122807017543857,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.005028963088989258
47,0.10526315789462604,0.05555555555555555,0.24999999999971875,0.14285714285714285,0.0003209114074707031,0.5865025913845532,0.6678864776334409,0.70242307565256,0.5614035087719298,0.9999999999984999,1.0,0.9999999999984999,1.0,0.0,0.0,0.9999999999984999,1.0,0.9999999999984999,1.0,0.9999999999984999,1.0,0.005111217498779297
48,0.09999999999989499,0.05263157894736842,0.10526315789462604,0.05555555555555555,0.00036787986755371094,0.6222407748371068,0.7004016085567951,0.755120206846188,0.49122807017543857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025148391723633
49,0.09523809523799547,0.05,0.11111111111099384,0.058823529411764705,0.0004019737243652344,0.6110384803824861,0.7015119635048667,0.7249526459369479,0.5672514619883041,0.9999999999984999,1.0,0.9999999999984999,1.0,0.0,0.0,0.9999999999984999,1.0,0.9999999999984999,1.0,0.9999999999984999,1.0,0.005093097686767578
50,0.9473684210520831,0.9,0.6086956521734366,0.4375,0.00032782554626464844,0.6095262412139059,0.7051233790159627,0.7093889682337181,0.5730994152046783,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.99999999999945,1.0,0.00503993034362793
51,0.09999999999989499,0.05263157894736842,0.15384615384598815,0.08333333333333333,0.00043702125549316406,0.6141782017692753,0.701041786805715,0.6772275005205667,0.5730994152046783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005066871643066406
