K,seed,tc_f1,time
2,42,0.0,0.00025177001953125
2,43,0.2857142857139591,0.00026226043701171875
2,44,0.22222222222197527,0.0002281665802001953
2,45,0.39999999999964,0.000331878662109375
2,46,0.5185185185180959,0.0001983642578125
2,47,0.9999999999984999,0.0003170967102050781
2,48,0.0,0.0002372264862060547
2,49,0.19999999999978,0.0003368854522705078
2,50,0.2608695652171418,0.000225067138671875
2,51,0.2857142857139591,0.0002651214599609375
3,42,0.09999999999989499,0.00028896331787109375
3,43,0.09999999999989499,0.00043201446533203125
3,44,0.09999999999989499,0.0002570152282714844
3,45,0.9142857142851658,0.00039124488830566406
3,46,0.9473684210520831,0.0002627372741699219
3,47,0.9999999999984999,0.00041103363037109375
3,48,0.09999999999989499,0.0002770423889160156
3,49,0.09523809523799547,0.0003027915954589844
3,50,0.9473684210520831,0.0002799034118652344
3,51,0.09523809523799547,0.0002601146697998047
4,42,0.09523809523799547,0.00039196014404296875
4,43,0.09523809523799547,0.0003001689910888672
4,44,0.09523809523799547,0.0003960132598876953
4,45,0.8888888888883457,0.0003428459167480469
4,46,0.99999999999945,0.0003859996795654297
4,47,0.9999999999984999,0.0002911090850830078
4,48,0.09999999999989499,0.0004458427429199219
4,49,0.09523809523799547,0.0003399848937988281
4,50,0.9743589743584248,0.0004718303680419922
4,51,0.09523809523799547,0.0003440380096435547
5,42,0.09523809523799547,0.0003972053527832031
5,43,0.09523809523799547,0.0003650188446044922
5,44,0.09523809523799547,0.0003540515899658203
5,45,0.8888888888883457,0.0004069805145263672
5,46,0.99999999999945,0.0004057884216308594
5,47,0.9999999999984999,0.00040912628173828125
5,48,0.09999999999989499,0.00034308433532714844
5,49,0.09523809523799547,0.0005061626434326172
5,50,0.9743589743584248,0.0004150867462158203
5,51,0.09523809523799547,0.00039005279541015625
