case,n,core_size,target,topk_f1,topk_jaccard,topk_fpr,topk_fnr,topk_tp,auroc,auprc,brier,ece,score_gap,pred_core_size_topk
transitive_singleton,30,1,TC,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.00014711875833514778,0.00879818003414658,0.9908984344474345,1.0
transitive_singleton,30,1,UC,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.1504221534473089e-32,5.921189464667501e-17,0.9999999999999999,1.0
planted_3_core,30,3,TC,1.0,1.0,0.0,0.0,3.0,1.0,1.0,8.548625098223437e-05,0.0067843652076755795,0.992461816435916,3.0
planted_3_core,30,3,UC,1.0,1.0,0.0,0.0,3.0,1.0,1.0,8.628166150854816e-33,4.8109664400423446e-17,1.0,3.0
planted_5_core,50,5,TC,1.0,1.0,0.0,0.0,5.0,1.0,1.0,8.362075515072125e-05,0.00674884465979625,0.9925012837113375,5.0
planted_5_core,50,5,UC,1.0,1.0,0.0,0.0,5.0,1.0,1.0,2.711709361697228e-33,2.4424906541753444e-17,1.0,5.0
