control,seed,n,core_size,method,topk_f1,topk_jaccard,topk_fpr,topk_fnr,topk_tp,auroc,auprc,brier,ece,score_gap,pred_core_size_topk
transitive_condorcet,0,15,1,ste_posterior_edge_uc,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.010421232042853664,0.05045045045045045,0.875,1.0
transitive_condorcet,0,15,1,ste_plugin_uc,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.042936674928739794,0.1928621471639252,0.5279806659698001,1.0
transitive_condorcet,0,15,1,hard_uc,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
transitive_condorcet,0,15,1,winrate,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.294661140043221,0.42817869415807563,0.34090909090909105,1.0
transitive_condorcet,0,15,1,btl,0.0,0.0,0.07142857142857142,1.0,0.0,0.9285714285714286,0.5,0.31483311794954205,0.4583685817616357,2.4628807716967582,1.0
transitive_condorcet,0,15,1,rank_centrality,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.10113175125318584,0.18256123896228155,0.2071327946093422,1.0
transitive_condorcet,0,15,1,hodge,0.0,0.0,0.07142857142857142,1.0,0.0,0.9285714285714286,0.5,0.308273559005485,0.446003617015112,1.7453897375316154,1.0
transitive_condorcet,0,15,1,copeland,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2445759368836292,0.39487179487179486,15.0,1.0
cyclic_core,0,15,3,ste_posterior_edge_uc,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9027777777777777,0.8095238095238095,0.0990990990990991,0.17837837837837836,0.4541666666666665,3.0
cyclic_core,0,15,3,ste_plugin_uc,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9444444444444444,0.8666666666666667,0.06414995220714136,0.05812840286742432,0.35437133789708347,3.0
cyclic_core,0,15,3,hard_uc,0.68,0.52,0.07999999999999999,0.31999999999999995,2.04,0.8333333333333333,0.7333333333333333,0.06666666666666667,0.06666666666666667,0.6666666666666666,3.0
cyclic_core,0,15,3,winrate,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9444444444444445,0.8666666666666667,0.1950115340253749,0.307843137254902,0.2164502164502165,3.0
cyclic_core,0,15,3,btl,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9722222222222222,0.9166666666666665,0.24062082224328382,0.3550284126929523,1.2104542115314214,3.0
cyclic_core,0,15,3,rank_centrality,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9722222222222222,0.9166666666666665,0.0816353574686293,0.20524684882800656,0.09319276346818053,3.0
cyclic_core,0,15,3,hodge,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9444444444444444,0.8666666666666667,0.25627657286398825,0.36113149770425484,1.0918171533315384,3.0
cyclic_core,0,15,3,copeland,0.6666666666666667,0.5,0.08333333333333334,0.33333333333333337,2.0,0.9722222222222222,0.9166666666666665,0.16479999999999997,0.2853333333333333,12.5,3.0
random_labels_against_planted_core,0,15,3,ste_posterior_edge_uc,0.0,0.0,0.25,1.0,0.0,0.33333333333333326,0.18803418803418806,0.5271604938271606,0.5925925925925926,-0.03333333333333344,3.0
random_labels_against_planted_core,0,15,3,ste_plugin_uc,0.33333333333333337,0.20000000000000004,0.16666666666666669,0.6666666666666667,1.0,0.3611111111111111,0.4512820512820513,0.6806361272321982,0.7773485572965952,-0.08377478912267367,3.0
random_labels_against_planted_core,0,15,3,hard_uc,0.21333333333333332,0.132,0.19666666666666668,0.7866666666666667,0.64,0.3333333333333333,0.1619047619047619,0.8666666666666667,0.8666666666666667,-0.33333333333333337,3.0
random_labels_against_planted_core,0,15,3,winrate,0.33333333333333337,0.20000000000000004,0.16666666666666669,0.6666666666666667,1.0,0.5694444444444444,0.4909090909090909,0.3399449035812669,0.4363636363636362,0.010822510822510789,3.0
random_labels_against_planted_core,0,15,3,btl,0.33333333333333337,0.20000000000000004,0.16666666666666669,0.6666666666666667,1.0,0.5555555555555556,0.4909090909090909,0.30990366109796774,0.4076425699790813,0.06648129361563042,3.0
random_labels_against_planted_core,0,15,3,rank_centrality,0.33333333333333337,0.20000000000000004,0.16666666666666669,0.6666666666666667,1.0,0.5555555555555556,0.4909090909090909,0.29809239727593034,0.3777950562423368,0.004313830495262183,3.0
random_labels_against_planted_core,0,15,3,hodge,0.33333333333333337,0.20000000000000004,0.16666666666666669,0.6666666666666667,1.0,0.5833333333333333,0.49831649831649827,0.28802268678089415,0.4439618718057978,0.08250758497484682,3.0
random_labels_against_planted_core,0,15,3,copeland,0.18666666666666665,0.11200000000000003,0.2033333333333333,0.8133333333333332,0.56,0.3472222222222222,0.22619047619047622,0.46501377410468325,0.5575757575757576,-1.25,3.0
transitive_condorcet,1,15,1,ste_posterior_edge_uc,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.127875,0.22166666666666668,0.7625000000000001,1.0
transitive_condorcet,1,15,1,ste_plugin_uc,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.14733414093035754,0.30638184101257226,0.44220130494471366,1.0
