missing_rate,method,n_rows,topk_f1_mean,topk_f1_ci95,topk_f1_se,auprc_mean,auprc_ci95,auprc_se
0.0,btl,4,0.8333333333333335,0.1886010879352777,0.0962250448649376,0.9305555555555555,0.09028589707078588,0.04606423319938055
0.0,copeland,4,0.8666666666666667,0.16003332986183424,0.08164965809277258,0.9305555555555555,0.09028589707078588,0.04606423319938055
0.0,hard_uc,4,0.8833333333333333,0.22866666666666668,0.11666666666666668,0.8571428571428571,0.28,0.14285714285714288
0.0,hodge,4,0.75,0.1633333333333333,0.08333333333333331,0.8416666666666666,0.10599202159585082,0.0540775620386994
0.0,rank_centrality,4,0.9166666666666667,0.1633333333333333,0.08333333333333331,0.9791666666666666,0.040833333333333464,0.0208333333333334
0.0,ste_plugin_uc,4,0.9166666666666667,0.1633333333333333,0.08333333333333331,0.9791666666666666,0.040833333333333464,0.0208333333333334
0.0,ste_posterior_edge_uc,4,1.0,0.0,0.0,1.0,0.0,0.0
0.0,winrate,4,0.8333333333333335,0.1886010879352777,0.0962250448649376,0.9305555555555555,0.09028589707078588,0.04606423319938055
0.3,btl,4,0.8333333333333335,0.1886010879352777,0.0962250448649376,0.8888888888888888,0.16780904785859993,0.0856168611523469
0.3,copeland,4,0.75,0.1633333333333333,0.08333333333333331,0.8430555555555556,0.1745833929991942,0.08907315969346644
0.3,hard_uc,4,0.4233333333333333,0.17182376845887015,0.08766518798921946,0.43333333333333335,0.13859292911256332,0.07071067811865475
0.3,hodge,4,0.5833333333333334,0.16333333333333339,0.08333333333333336,0.7805555555555554,0.16031092474498596,0.08179128813519691
0.3,rank_centrality,4,0.9166666666666667,0.1633333333333333,0.08333333333333331,0.9097222222222222,0.17694444444444446,0.09027777777777779
0.3,ste_plugin_uc,4,0.75,0.31275952186707046,0.15957118462605635,0.8134920634920635,0.21342879808463494,0.10889224392073212
0.3,ste_posterior_edge_uc,4,0.6900000000000001,0.2706146310133998,0.13806868929255092,0.7444444444444445,0.18969807069311845,0.09678472994546859
0.3,winrate,4,0.8333333333333335,0.1886010879352777,0.0962250448649376,0.8638888888888889,0.18993231412957956,0.09690424190284672
