edge_estimator,reachability,n_rows,topk_f1_mean,topk_f1_ci95,topk_f1_se,auprc_mean,auprc_ci95,auprc_se,runtime_sec_mean,runtime_sec_ci95,runtime_sec_se
hard_majority,max_min,4,0.4666666666666666,0.030176174069644415,0.015396007178390007,1.0,0.0,0.0,0.003218406520318175,4.839684912713197e-05,2.4692269962822435e-05
hard_majority,prob_or,4,0.4666666666666666,0.030176174069644415,0.015396007178390007,1.0,0.0,0.0,0.0032238960266113,8.894071521907988e-05,4.537791592810198e-05
missing_as_half,max_min,4,0.8333333333333334,0.1886010879352777,0.0962250448649376,0.9027777777777778,0.11001730129557867,0.05613127617121361,0.003274531278293525,4.564862811376081e-05,2.3290116384571843e-05
missing_as_half,prob_or,4,0.8333333333333334,0.1886010879352777,0.0962250448649376,0.9027777777777778,0.11001730129557867,0.05613127617121361,0.003332031308673275,6.347442881955031e-05,3.238491266303587e-05
posterior_edge,max_min,4,1.0,0.0,0.0,1.0,0.0,0.0,0.003414051956497075,4.9981548436452354e-05,2.550079001859814e-05
posterior_edge,prob_or,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0034098959877155253,7.074909079739034e-05,3.609647489662773e-05
weighted_mean,max_min,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0033001142437569246,4.502970939356804e-05,2.2974341527330634e-05
weighted_mean,prob_or,4,1.0,0.0,0.0,1.0,0.0,0.0,0.00332353130215775,7.616483094854803e-05,3.885960762681022e-05
