n,seed,reachability,K,runtime_sec,tc_mean,uc_mean
15,0,max_min,2,0.002201625145971775,0.3435472805354385,0.3333333333333362
15,0,max_min,14,0.002237749984487891,0.3435472805354385,0.3333333333333362
15,0,prob_or,2,0.002148666884750128,0.3435472805354147,0.3333333333333362
15,0,prob_or,14,0.002287917071953416,0.3435472805354385,0.3333333333333362
30,0,max_min,2,0.008626041933894157,0.18545397904830202,0.16666666666696067
30,0,max_min,29,0.009290667017921805,0.18545397904830202,0.16666666666696067
30,0,prob_or,2,0.008590999990701675,0.18545397904829627,0.16666666666696067
30,0,prob_or,29,0.009705832926556468,0.18545397904830202,0.16666666666696067
