seed,bootstrap,n,core_size,target_solution,m_per_pair,missing_rate,label_noise,method,bootstrap_f1,bootstrap_jaccard_to_truth,bootstrap_fpr,bootstrap_fnr,bootstrap_auroc,top1,pairwise_jaccard,top1_entropy
0,0,15,3,UC,10,0.1,0.02,ste_posterior_edge_uc,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9722222222222222,5,0.6590909090909091,0.8112781244591328
0,0,15,3,UC,10,0.1,0.02,ste_plugin_uc,0.3333333333333333,0.2,0.16666666666666666,0.6666666666666666,0.8611111111111112,5,0.5227272727272727,1.2987949406953985
0,0,15,3,UC,10,0.1,0.02,winrate,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9444444444444444,5,0.5272727272727273,-0.0
0,0,15,3,UC,10,0.1,0.02,btl,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9722222222222222,5,0.6181818181818183,-0.0
0,1,15,3,UC,10,0.1,0.02,ste_posterior_edge_uc,1.0,1.0,0.0,0.0,1.0,5,0.6590909090909091,0.8112781244591328
0,1,15,3,UC,10,0.1,0.02,ste_plugin_uc,1.0,1.0,0.0,0.0,1.0,5,0.5227272727272727,1.2987949406953985
0,1,15,3,UC,10,0.1,0.02,winrate,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.5272727272727273,-0.0
0,1,15,3,UC,10,0.1,0.02,btl,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.6181818181818183,-0.0
0,2,15,3,UC,10,0.1,0.02,ste_posterior_edge_uc,1.0,1.0,0.0,0.0,1.0,5,0.6590909090909091,0.8112781244591328
0,2,15,3,UC,10,0.1,0.02,ste_plugin_uc,1.0,1.0,0.0,0.0,1.0,5,0.5227272727272727,1.2987949406953985
0,2,15,3,UC,10,0.1,0.02,winrate,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.5272727272727273,-0.0
0,2,15,3,UC,10,0.1,0.02,btl,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.6181818181818183,-0.0
0,3,15,3,UC,10,0.1,0.02,ste_posterior_edge_uc,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9583333333333334,5,0.6590909090909091,0.8112781244591328
0,3,15,3,UC,10,0.1,0.02,ste_plugin_uc,1.0,1.0,0.0,0.0,1.0,5,0.5227272727272727,1.2987949406953985
0,3,15,3,UC,10,0.1,0.02,winrate,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.5272727272727273,-0.0
0,3,15,3,UC,10,0.1,0.02,btl,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.6181818181818183,-0.0
0,4,15,3,UC,10,0.1,0.02,ste_posterior_edge_uc,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9305555555555556,7,0.6590909090909091,0.8112781244591328
0,4,15,3,UC,10,0.1,0.02,ste_plugin_uc,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.8333333333333333,7,0.5227272727272727,1.2987949406953985
0,4,15,3,UC,10,0.1,0.02,winrate,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.5272727272727273,-0.0
0,4,15,3,UC,10,0.1,0.02,btl,0.6666666666666666,0.5,0.08333333333333333,0.3333333333333333,0.9166666666666666,5,0.6181818181818183,-0.0
