method,n_rows,bootstrap_f1_mean,bootstrap_f1_ci95,bootstrap_f1_se,pairwise_jaccard_mean,pairwise_jaccard_ci95,pairwise_jaccard_se,bootstrap_auroc_mean,bootstrap_auroc_ci95,bootstrap_auroc_se,top1_entropy_mean,top1_entropy_ci95,top1_entropy_se
btl,16,0.8541666666666666,0.08368343125533673,0.04269562819149833,0.8090909090909091,0.09661333001811953,0.04929251531536711,0.970486111111111,0.018905077145370985,0.009645447523148462,0.2717822215997982,0.13754078102536624,0.07017386787008481
ste_plugin_uc,16,0.8541666666666666,0.10276163536896298,0.05242940580049132,0.6213636363636363,0.049916887176028435,0.025467799579606345,0.9652777777777777,0.026994417194501196,0.013772661833929181,0.9211796919474975,0.19109968243748,0.09749983797830612
ste_posterior_edge_uc,16,0.8958333333333333,0.07818988046676763,0.039892796156514095,0.7495454545454545,0.0457763158895376,0.023355263208947756,0.984375,0.012394085751902574,0.006323513138725803,0.8828560636920489,0.03622343510304426,0.018481344440328704
winrate,16,0.875,0.08166666666666668,0.04166666666666667,0.7636363636363637,0.11961650383195753,0.06102882848569262,0.970486111111111,0.01954747011669191,0.009973199039128525,0.6493974703476992,0.32864046346284626,0.16767370584839095
